Classe;Nom;MS % brut;PB % brut;CB % brut;MGR % brut;MM % brut;NDF % brut;ADF % brut;Lignine % brut;Amidon % brut;Sucres % brut;EB (kcal) kcal/kg brut;ED porc croissance (kcal) kcal/kg brut;EM porc croissance (kcal) kcal/kg brut;EN porc croissance (kcal) kcal/kg brut;EMAn coq (kcal) kcal/kg brut;EMAn poulet (kcal) kcal/kg brut;UFL 2018 par kg brut;PDI 2018 g/kg brut;BalProRu 2018 g/kg brut
Céréales;Blé;90.8000030517578;8;2;1.20000004768372;1.29999995231628;11.3999996185303;2.79999995231628;0.899999976158142;65.0999984741211;2.59999990463257;3900;3470;3380;2660;3060;2940;1.0900000333786;74;-40
Céréales;Blé;90;8;1.89999997615814;1.20000004768372;1.39999997615814;11;2.70000004768372;0.899999976158142;64.6999969482422;2.59999990463257;3860;3450;3360;2640;3040;2920;1.08000004291534;73;-39
Céréales;Blé;89;8;1.89999997615814;1.20000004768372;1.39999997615814;10.8999996185303;2.70000004768372;0.899999976158142;63.2999992370605;2.59999990463257;3820;3410;3320;2610;2980;2870;1.07000005245209;73;-38
Céréales;Blé;88.8000030517578;8;1.89999997615814;1.20000004768372;1.39999997615814;10.8999996185303;2.70000004768372;0.899999976158142;63.2000007629395;2.59999990463257;3810;3400;3310;2600;2980;2860;1.07000005245209;73;-37
Céréales;Blé;88.5;8;2.29999995231628;1.20000004768372;1.60000002384186;12.5;3.20000004768372;1;63.7000007629395;2.59999990463257;3790;3320;3230;2550;3000;2880;1.04999995231628;72;-36
Céréales;Blé;88;8;2.29999995231628;1.20000004768372;1.60000002384186;12.5;3.20000004768372;1;63.2000007629395;2.59999990463257;3770;3300;3210;2540;2980;2860;1.03999996185303;72;-36
Céréales;Blé;87.8000030517578;8;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;63.0999984741211;2.59999990463257;3770;3350;3260;2570;2980;2860;1.04999995231628;72;-36
Céréales;Blé;87.5;8;2.20000004768372;1.10000002384186;1.5;12.1000003814697;3;1;62.5999984741211;2.59999990463257;3750;3290;3200;2530;2950;2830;1.03999996185303;71;-36
Céréales;Blé;87;8;2.29999995231628;1.10000002384186;1.5;12.3999996185303;3.20000004768372;1;60.7999992370605;2.59999990463257;3730;3260;3170;2490;2880;2760;1.02999997138977;71;-35
Céréales;Blé;86.8000030517578;8;1.89999997615814;1.20000004768372;1.39999997615814;10.8000001907349;2.70000004768372;0.899999976158142;62;2.59999990463257;3730;3320;3230;2540;2930;2820;1.03999996185303;71;-35
Céréales;Blé;86.5;8;2.40000009536743;1.20000004768372;1.39999997615814;12.8000001907349;3.29999995231628;1;59;2.59999990463257;3720;3230;3140;2460;2810;2700;1.01999998092651;71;-34
Céréales;Blé;86.3000030517578;8;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;61.7000007629395;2.59999990463257;3710;3300;3210;2530;2930;2810;1.03999996185303;71;-34
Céréales;Blé;86;8;2.29999995231628;1.20000004768372;1.60000002384186;12.3999996185303;3.20000004768372;1;60.0999984741211;2.59999990463257;3690;3220;3130;2460;2860;2740;1.01999998092651;70;-34
Céréales;Blé;85.5;8;2.29999995231628;1.10000002384186;1.5;12.3999996185303;3.20000004768372;1;58.9000015258789;2.59999990463257;3670;3200;3110;2430;2800;2690;1.00999999046326;70;-33
Céréales;Blé;85.3000030517578;8;1.89999997615814;1.29999995231628;1.5;10.8000001907349;2.70000004768372;0.899999976158142;61.5999984741211;2.59999990463257;3670;3260;3170;2500;2930;2810;1.01999998092651;70;-33
Céréales;Blé;89.8000030517578;8.19999980926514;2;1.20000004768372;1.29999995231628;11.3000001907349;2.79999995231628;0.899999976158142;64.0999984741211;2.59999990463257;3860;3430;3340;2630;3020;2900;1.08000004291534;74;-37
Céréales;Blé;89.3000030517578;8.19999980926514;2;1.29999995231628;1.5;11.3000001907349;2.79999995231628;0.899999976158142;63.5999984741211;2.59999990463257;3840;3410;3320;2610;3010;2890;1.07000005245209;73;-36
Céréales;Blé;88.5;8.19999980926514;2.09999990463257;1.20000004768372;1.60000002384186;11.6999998092651;2.90000009536743;1;62.5;2.59999990463257;3800;3350;3260;2560;2960;2840;1.04999995231628;73;-35
Céréales;Blé;88;8.19999980926514;2.09999990463257;1.20000004768372;1.60000002384186;11.6999998092651;2.90000009536743;1;62;2.59999990463257;3770;3330;3240;2550;2940;2820;1.04999995231628;72;-35
Céréales;Blé;87.5;8.19999980926514;2.09999990463257;1.20000004768372;1.60000002384186;11.6999998092651;2.90000009536743;0.899999976158142;62;2.59999990463257;3750;3310;3220;2530;2940;2820;1.03999996185303;72;-34
